CLIENTE;MES;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
C01995;01/02/2014;<=10;0;0;<24, 48;179.07;0;0;14/02/2014;9;3780.38;BT;1/01/2013;1;CNE
C01996;01/02/2014;<=10;0;0;<24, 48;450.1;0;0;6/02/2014;10;12130.9;BT;1/01/2013;1;CNE
C01998;01/02/2014;<=10;0;0;<24, 48;363.64;83.85;0;4/02/2014;16;8807.29;BT;1/01/2013;1;COEF
C01999;01/02/2014;<=10;0;0;>48;1423.62;2144.99;0;26/02/2014;14;16982.9;BT;1/01/2012;0;CNE
C02001;01/02/2014;<=10;>0;0;<24, 48;570.02;0;910.66;20/02/2014;12;5490.05;BT;1/01/2013;0;CNE
C02003;01/02/2014;<=10;0;0;<24, 48;201.93;0;0;13/02/2014;10;16006.2;BT;1/01/2013;1;CNE
C02004;01/02/2014;>10;0;0;>48;598.97;599.04;0;10/02/2014;15;38683.6;BT;1/01/2011;1;CNE
C02005;01/02/2014;<=10;0;0;>48;581.07;0.61;0;4/02/2014;14;16259.5;BT;1/01/2013;1;CNE
C02008;01/02/2014;<=10;0;0;<24, 48;156.61;242.99;0;13/02/2014;8;4464.67;BT;1/01/2013;1;CNE
C02009;01/02/2014;<=10;0;0;<=24;313.31;311.96;311.84;28/02/2014;17;3054.68;BT;1/01/2013;1;CNE
C02010;01/02/2014;>10;0;0;<24, 48;527.48;859.91;1194.38;5/02/2014;14;2627.96;BT;1/01/2011;0;CNE
C02011;01/02/2014;<=10;0;0;>48;577.6;577.82;579.56;28/02/2014;20;7567.24;BT;1/01/2011;1;CNE
C02013;01/02/2014;<=10;0;0;<=24;361.25;0;0;4/02/2014;15;5583.84;BT;1/01/2013;1;COEF
C02014;01/02/2014;<=10;0;0;<=24;183.69;0;0;26/02/2014;8;2627.52;BT;1/01/2013;1;CNE
C02015;01/02/2014;<=10;0;0;>48;171.22;171.31;0;3/02/2014;11;3061.31;BT;1/01/2013;1;CNE
C02016;01/02/2014;<=10;0;0;<24, 48;310.01;0;313.1;6/02/2014;15;6833.32;BT;1/01/2013;1;CNE
C02017;01/02/2014;<=10;0;0;<24, 48;327.44;23.44;537;18/02/2014;14;10983.1;BT;1/01/2012;1;CNE
C02018;01/02/2014;<=10;0;0;>48;4059.9;0;0;18/02/2014;7;73187.8;BT;1/01/2012;0;CNE
C02019;01/02/2014;>10;0;0;<24, 48;393.53;413.43;0;4/02/2014;11;14325.8;BT;1/01/2012;1;CNE
C02020;01/02/2014;<=10;0;0;>48;807.28;0;0;10/02/2014;11;9288.14;BT;1/01/2013;0;CNE
C02021;01/02/2014;<=10;0;0;<24, 48;85.59;54.16;0;6/02/2014;7;5366.41;BT;1/01/2013;1;CNE
C02023;01/02/2014;>10;0;0;>48;159.85;0;0;6/02/2014;17;16025.2;BT;1/01/2012;1;CNE
C02025;01/02/2014;<=10;0;0;<24, 48;180.66;362.04;0;3/02/2014;11;3427.19;BT;1/01/2013;1;COEF
C02026;01/02/2014;<=10;0;0;<24, 48;44;0;0;4/02/2014;10;12597.2;BT;1/01/2013;1;COEF
C02027;01/02/2014;<=10;0;0;>48;256.63;253.05;256.54;6/02/2014;7;2630.3;BT;1/01/2013;1;CNE
C02028;01/02/2014;<=10;0;0;>48;1110.66;305.23;793.17;6/02/2014;16;34930.1;BT;1/01/2013;1;COEF
C02030;01/02/2014;<=10;0;0;<=24;189.52;0;0;25/02/2014;11;2041.37;BT;1/01/2013;1;CNE
C02034;01/02/2014;>10;0;0;<24, 48;288.81;0;879.07;6/02/2014;14;5290.25;BT;1/01/2012;1;COEF
C02035;01/02/2014;<=10;0;0;>48;980.71;1076.54;0;20/02/2014;16;8310.97;BT;1/01/2011;0;CNE
C02036;01/02/2014;<=10;>0;0;<24, 48;268.82;526.03;784;10/02/2014;13;4331.09;BT;1/01/2012;0;COEF
C02037;01/02/2014;<=10;0;0;<24, 48;453.08;0;0;11/02/2014;14;12939.3;BT;1/01/2013;1;CNE
C02040;01/02/2014;>10;0;0;<24, 48;187.82;0;0;7/02/2014;8;6416.76;BT;1/01/2012;1;CNE
C02042;01/02/2014;<=10;0;0;>48;662.49;103.55;0;3/02/2014;18;17585.2;BT;1/01/2013;1;CNE
C02043;01/02/2014;<=10;0;0;<24, 48;340.19;0;344.86;3/02/2014;13;6898.57;BT;1/01/2013;1;CNE
C02044;01/02/2014;<=10;0;0;<24, 48;298.54;600.23;903.51;4/02/2014;7;7639.88;BT;1/01/2013;1;CNE
C02045;01/02/2014;>10;>0;0;>48;1542.42;2320.76;0;10/02/2014;19;19769.7;BT;1/01/2012;0;COEF
C02046;01/02/2014;<=10;0;0;>48;993.95;1062.31;1063.47;10/02/2014;15;26606.3;BT;1/01/2013;1;CNE
C02047;01/02/2014;<=10;>0;0;>48;2605.52;0;0;6/02/2014;17;27915.7;BT;1/01/2013;0;CNE
C02048;01/02/2014;<=10;0;0;<24, 48;167.62;171.87;9.79;4/02/2014;11;3413.81;BT;1/01/2013;1;CNE
C02049;01/02/2014;<=10;0;0;<24, 48;329.57;667.16;0;26/02/2014;10;7107.49;BT;1/01/2012;1;CNE
C02050;01/02/2014;<=10;0;0;>48;388.21;0;0;4/02/2014;16;6640.24;BT;1/01/2011;1;CNE
C02051;01/02/2014;<=10;0;0;<24, 48;459.12;0.7;458.53;6/02/2014;19;11369.6;BT;1/01/2013;1;CNE
C02052;01/02/2014;<=10;0;0;<24, 48;1170.35;0;0;28/02/2014;18;8655.7;BT;1/01/2012;0;CNE
C02053;01/02/2014;<=10;0;0;>48;380.89;0;0;5/02/2014;8;7748.99;BT;1/01/2011;1;COEF
C02054;01/02/2014;<=10;0;0;<24, 48;608.71;0;135.96;3/02/2014;12;20449.3;BT;1/01/2013;1;CNE
C02055;01/02/2014;<=10;0;0;<24, 48;666.5;663.14;0;6/02/2014;12;9880.13;BT;1/01/2013;1;COEF
C02056;01/02/2014;<=10;0;0;>48;441.13;464.07;456.28;10/02/2014;11;13219.2;BT;1/01/2013;1;COEF
C02057;01/02/2014;<=10;0;0;>48;422.65;0;0;5/02/2014;8;9088.4;BT;1/01/2012;1;COEF
C02058;01/02/2014;>10;0;0;<24, 48;33.91;0;0;19/02/2014;9;2128.86;BT;1/01/2012;1;COEF
C02059;01/02/2014;>10;>0;0;<24, 48;205.85;205.81;0;18/02/2014;10;2718.59;BT;1/01/2012;1;COEF
C02060;01/02/2014;<=10;0;0;<24, 48;267.42;0;0;7/02/2014;10;5740.02;BT;1/01/2013;1;COEF
C02061;01/02/2014;<=10;0;0;<24, 48;267.66;0;0;5/02/2014;15;8756.84;BT;1/01/2013;1;COEF
C02062;01/02/2014;<=10;0;0;<=24;166.83;167.17;167.4;27/02/2014;11;2214.68;BT;1/01/2013;1;CNE
C02063;01/02/2014;>10;>0;0;<=24;160.51;0.49;160.89;5/02/2014;16;739.23;BT;1/01/2012;1;CNE
C02064;01/02/2014;<=10;0;0;<24, 48;321.91;681.41;370.32;21/02/2014;14;6735.76;BT;1/01/2013;1;CNE
C02065;01/02/2014;<=10;0;0;<=24;33.93;0;0;6/02/2014;8;8204.23;BT;1/01/2013;1;CNE
C02066;01/02/2014;<=10;0;0;<24, 48;148.29;142.33;141.09;11/02/2014;8;2163.47;BT;1/01/2012;1;CNE
C02067;01/02/2014;<=10;0;0;<24, 48;324.91;324.89;324.89;5/02/2014;12;9743.25;BT;1/01/2013;1;CNE
C02068;01/02/2014;<=10;0;0;<24, 48;136.77;0;0;6/02/2014;10;12945;BT;1/01/2013;1;CNE
C02069;01/02/2014;<=10;>0;0;>48;228.74;343.35;343.35;18/02/2014;8;2518.62;BT;1/01/2013;0;COEF
C02070;01/02/2014;<=10;0;0;>48;1209.37;0;0;24/02/2014;15;29711.3;BT;1/01/2013;0;CNE
C02072;01/02/2014;>10;0;0;>48;96.4;0;349.34;12/02/2014;12;1207.25;BT;1/01/2011;1;CNE
C02074;01/02/2014;>10;0;0;<24, 48;251.87;0;253.73;17/02/2014;19;3585.74;BT;1/01/2012;1;CNE
C02075;01/02/2014;<=10;0;0;<24, 48;609.49;0;0;3/02/2014;8;21739.3;BT;1/01/2013;1;COEF
C02076;01/02/2014;<=10;0;0;<24, 48;278.23;0;0;6/02/2014;20;4935.52;BT;1/01/2013;1;COEF
C02078;01/02/2014;<=10;0;0;<=24;285.65;285.85;573.4;11/02/2014;20;3845.65;BT;1/01/2013;0;CNE
C02079;01/02/2014;<=10;0;0;<24, 48;378.77;429.44;194.2;6/02/2014;19;10260.7;BT;1/01/2013;1;COEF
C02080;01/02/2014;<=10;0;0;>48;413.68;412.98;0;19/02/2014;8;11442.2;BT;1/01/2013;1;CNE
C02081;01/02/2014;<=10;>0;0;<24, 48;1350.22;0;0;25/02/2014;12;24561.4;BT;1/01/2013;0;COEF
C02083;01/02/2014;>10;0;0;<24, 48;147.16;147.29;294.89;11/02/2014;9;1549.44;BT;1/01/2012;1;CNE
C02084;01/02/2014;<=10;>0;0;<24, 48;253.85;1104.13;0;10/02/2014;7;20305.6;BT;1/01/2013;1;COEF
C02085;01/02/2014;<=10;>0;0;>48;343.47;362.5;362.26;26/02/2014;10;4065.95;BT;1/01/2013;1;CNE
C02086;01/02/2014;<=10;>0;1;<24, 48;164.19;497.74;0;5/02/2014;20;2298.68;BT;1/01/2012;1;CNE
C02088;01/02/2014;>10;>0;0;>48;646.07;682.64;1303.98;20/02/2014;11;13341.5;BT;1/01/2012;0;CNE
C02089;01/02/2014;>10;0;0;<24, 48;48.04;0;58.6;14/02/2014;14;2007.79;BT;1/01/2012;0;CNE
C02090;01/02/2014;<=10;>0;0;<24, 48;225.26;650.92;1081.12;13/02/2014;14;7406.09;BT;1/01/2013;1;COEF
C02091;01/02/2014;<=10;0;0;<=24;199.84;198.96;198.71;11/02/2014;10;1970.63;BT;1/01/2013;1;CNE
C02094;01/02/2014;<=10;0;0;<=24;144.05;176.44;174.35;10/02/2014;7;2470.23;BT;1/01/2013;1;CNE
C02095;01/02/2014;<=10;0;0;<24, 48;489.55;588.15;1177.11;25/02/2014;14;13521.4;BT;1/01/2013;1;CNE
C02096;01/02/2014;>10;0;0;<24, 48;463.25;0;0;21/02/2014;8;6828.71;BT;1/01/2012;1;CNE
C02097;01/02/2014;<=10;0;0;<=24;135.15;270.87;408.03;27/02/2014;13;1751.15;BT;1/01/2013;1;CNE
C02099;01/02/2014;<=10;>0;0;>48;588.9;6.61;0;21/02/2014;9;10217.3;BT;1/01/2011;1;COEF
C02100;01/02/2014;<=10;0;0;<24, 48;146.51;0;0;14/02/2014;9;5125.62;BT;1/01/2013;1;CNE
C02101;01/02/2014;<=10;0;0;<24, 48;305.1;0;0;11/02/2014;15;4695.9;BT;1/01/2012;1;CNE
C02103;01/02/2014;<=10;0;0;<24, 48;237.48;476.23;717.68;18/02/2014;12;2751.51;BT;1/01/2012;1;CNE
C02105;01/02/2014;>10;0;0;<24, 48;377.84;377.85;378.82;4/02/2014;11;8173.55;BT;1/01/2012;1;CNE
C02106;01/02/2014;>10;0;0;>48;153.91;32.16;0;10/02/2014;10;9167.57;BT;1/01/2012;1;COEF
C02107;01/02/2014;<=10;0;0;>48;585.91;593.31;593.77;13/02/2014;11;17290.7;BT;1/01/2013;1;CNE
C02108;01/02/2014;<=10;>0;0;<24, 48;924.18;1850.64;0;28/02/2014;8;23615.3;BT;1/01/2012;1;CNE
C02110;01/02/2014;<=10;0;0;>48;227;0.16;0.1;4/02/2014;19;1770.16;BT;1/01/2011;1;CNE
C02112;01/02/2014;>10;0;0;>48;773.05;1170.31;1570.05;20/02/2014;8;5101.39;BT;1/01/2011;0;CNE
C02114;01/02/2014;<=10;>0;0;>48;535.9;0;0;11/02/2014;17;9622.22;BT;1/01/2013;0;CNE
C02115;01/02/2014;<=10;0;0;<24, 48;113.4;217.61;0;21/02/2014;8;7315.63;BT;1/01/2011;1;CNE
C02116;01/02/2014;>10;0;0;>48;383.61;384.59;204.87;20/02/2014;16;6789.68;BT;1/01/2011;1;CNE
C02117;01/02/2014;<=10;0;0;<24, 48;470.05;952.64;486.28;28/02/2014;10;10845.7;BT;1/01/2012;1;CNE
C02118;01/02/2014;<=10;0;0;<24, 48;455.14;0;455.06;3/02/2014;19;8597.76;BT;1/01/2012;1;CNE
C02119;01/02/2014;<=10;>0;0;<24, 48;347.12;372.93;372.93;28/02/2014;17;5238.52;BT;1/01/2013;0;CNE
C02120;01/02/2014;>10;0;0;<24, 48;230.03;0;0;4/02/2014;7;4752.65;BT;1/01/2011;1;CNE
C02124;01/02/2014;<=10;0;0;<24, 48;354.07;0;0;10/02/2014;15;6218.9;BT;1/01/2012;1;CNE
C02128;01/02/2014;>10;0;0;<24, 48;287.32;287.32;287.8;25/02/2014;8;1403.96;BT;1/01/2011;1;CNE
C02131;01/02/2014;>10;>0;1;>48;108.33;338.53;338.53;6/02/2014;20;2215.52;BT;1/01/2012;1;CNE
C02132;01/02/2014;>10;0;0;>48;1332.47;2002.98;0;11/02/2014;9;16348.3;BT;1/01/2012;0;CNE
C02133;01/02/2014;>10;0;0;<24, 48;738.32;740.5;741.47;11/02/2014;14;13615.5;BT;1/01/2012;1;COEF
C02134;01/02/2014;<=10;0;0;<24, 48;257.76;250.76;0;14/02/2014;8;4585.32;BT;1/01/2013;1;CNE
C02135;01/02/2014;<=10;0;0;>48;160.14;0;0;11/02/2014;10;15264.5;BT;1/01/2012;1;CNE
C02139;01/02/2014;<=10;0;0;>48;104.72;0;0;26/02/2014;9;2840.73;BT;1/01/2012;1;CNE
C02140;01/02/2014;>10;>0;1;<24, 48;219.37;0;0;18/02/2014;8;1942.83;BT;1/01/2011;1;COEF
C02142;01/02/2014;<=10;0;0;<24, 48;327.67;326.42;655.29;24/02/2014;15;7521.2;BT;1/01/2013;1;CNE
C02143;01/02/2014;>10;0;0;<=24;293.15;5.33;474.2;6/02/2014;11;1026.03;BT;1/01/2012;1;COEF
C02144;01/02/2014;>10;0;0;<=24;311.75;0;163.04;5/02/2014;12;935.24;BT;1/01/2012;0;CNE
C02145;01/02/2014;<=10;>0;0;>48;1799.99;0;0;21/02/2014;18;18034.1;BT;1/01/2013;0;CNE
C02146;01/02/2014;<=10;>0;0;<24, 48;2078.19;0;0;17/02/2014;8;21519.8;BT;1/01/2012;0;CNE
C02147;01/02/2014;<=10;>0;1;<=24;766;0;0;17/02/2014;11;1913.32;BT;1/01/2012;0;COEF
C02148;01/02/2014;<=10;>0;0;>48;447.08;923.67;0;17/02/2014;12;16422.2;BT;1/01/2013;1;CNE
C02149;01/02/2014;>10;0;0;<24, 48;854.73;1283.73;0;28/02/2014;11;6880.05;BT;1/01/2011;0;CNE
C02151;01/02/2014;<=10;0;0;<24, 48;431.35;434.58;435.1;10/02/2014;11;12677.3;BT;1/01/2013;1;CNE
C02152;01/02/2014;<=10;0;0;<24, 48;170.68;125.36;132.07;11/02/2014;17;616.89;BT;1/01/2012;0;CNE
C02153;01/02/2014;<=10;0;0;<24, 48;1376.08;0;0;12/02/2014;13;10129;BT;1/01/2013;0;CNE
C02154;01/02/2014;>10;0;0;<24, 48;606.19;0;0;13/02/2014;8;8673.88;BT;1/01/2011;1;CNE
C02155;01/02/2014;<=10;0;0;<24, 48;1617.97;0;0;13/02/2014;8;7384.77;BT;1/01/2012;0;CNE
C02156;01/02/2014;>10;0;0;<24, 48;302.59;303.33;304.93;4/02/2014;15;4091.79;BT;1/01/2012;1;COEF
C02157;01/02/2014;>10;0;0;>48;245.53;240.21;233.41;11/02/2014;10;1612.59;BT;1/01/2010;1;CNE
C02158;01/02/2014;>10;0;0;>48;661.46;660.06;660.02;4/02/2014;14;20514;BT;1/01/2011;1;CNE
C02160;01/02/2014;>10;0;0;<=24;294.66;0;0;5/02/2014;16;593.87;BT;1/01/2012;1;CNE
C02161;01/02/2014;<=10;0;0;<=24;269.09;0;0;5/02/2014;16;2700.39;BT;1/01/2012;1;COEF
C02163;01/02/2014;<=10;0;0;<=24;100.01;106.33;102.76;28/02/2014;8;1505.96;BT;1/01/2013;1;COEF
C02164;01/02/2014;<=10;0;0;<24, 48;319.01;638.04;0;20/02/2014;9;7675.46;BT;1/01/2013;1;CNE
C02166;01/02/2014;<=10;0;0;>48;854.52;0;0;20/02/2014;10;24298.4;BT;1/01/2013;1;CNE
C02167;01/02/2014;<=10;0;0;<=24;347.42;0;0;3/02/2014;7;5000.64;BT;1/01/2013;1;COEF
C02168;01/02/2014;>10;>0;0;<24, 48;205.57;205.52;0;20/02/2014;13;2200.79;BT;1/01/2012;1;COEF
C02170;01/02/2014;<=10;0;0;>48;342.2;0;0;4/02/2014;14;17903.3;BT;1/01/2013;1;CNE
C02171;01/02/2014;<=10;0;0;<24, 48;426.37;0;339.84;6/02/2014;15;11158.8;BT;1/01/2013;1;CNE
C02172;01/02/2014;<=10;0;0;<24, 48;326.38;324.84;326.51;14/02/2014;13;10189;BT;1/01/2013;1;CNE
C02173;01/02/2014;<=10;0;0;<24, 48;237.83;214.9;0;25/02/2014;11;4016.89;BT;1/01/2012;1;CNE
C02174;01/02/2014;<=10;0;0;<=24;147.72;0;151.83;3/02/2014;14;2147.93;BT;1/01/2013;1;CNE
C02175;01/02/2014;<=10;0;0;<=24;411.41;0;0;6/02/2014;15;5058.29;BT;1/01/2013;1;COEF
C02176;01/02/2014;<=10;0;0;<24, 48;256.08;33.7;67.54;6/02/2014;7;10759.1;BT;1/01/2013;1;CNE
C02177;01/02/2014;<=10;0;0;<24, 48;225.21;160.9;0;14/02/2014;14;8803.54;BT;1/01/2011;1;CNE
C02181;01/02/2014;<=10;>0;0;>48;402.07;805.59;0;13/02/2014;11;11658.9;BT;1/01/2013;1;CNE
C02182;01/02/2014;<=10;0;0;<=24;177.79;496.75;819.05;14/02/2014;14;3740.92;BT;1/01/2013;1;CNE
C02184;01/02/2014;<=10;0;0;<=24;36.98;37.99;9.02;6/02/2014;9;2754.32;BT;1/01/2013;1;CNE
C02185;01/02/2014;<=10;>0;0;<24, 48;2374.57;0;0;13/02/2014;13;22595.8;BT;1/01/2012;0;CNE
C02186;01/02/2014;<=10;0;0;<=24;908.12;0;0;11/02/2014;9;18175.3;BT;1/01/2013;1;COEF
C02187;01/02/2014;<=10;0;0;>48;338.04;0;10.13;4/02/2014;16;6436.44;BT;1/01/2012;1;COEF
C02189;01/02/2014;<=10;>0;1;<=24;47.04;0;198.71;11/02/2014;7;2264.19;BT;1/01/2013;1;COEF
C02190;01/02/2014;<=10;0;0;<24, 48;175.86;0;0;4/02/2014;8;3091.09;BT;1/01/2013;1;COEF
C02192;01/02/2014;>10;0;0;>48;358.22;358.5;359.36;28/02/2014;9;7709.7;BT;1/01/2012;1;CNE
C02193;01/02/2014;<=10;0;0;>48;481.46;0;482.41;5/02/2014;10;19321.3;BT;1/01/2013;1;COEF
C02194;01/02/2014;<=10;>0;0;>48;620.25;0;768.1;28/02/2014;13;24082.3;BT;1/01/2013;1;COEF
C02196;01/02/2014;<=10;>0;1;>48;252.45;254.47;0;20/02/2014;8;4670.56;BT;1/01/2012;1;COEF
C02197;01/02/2014;>10;0;0;<=24;353.82;353.45;0;3/02/2014;15;1683.22;BT;1/01/2012;1;CNE
C02198;01/02/2014;<=10;>0;0;<24, 48;222.08;0;0;5/02/2014;13;2720.87;BT;1/01/2013;0;COEF
C02199;01/02/2014;<=10;>0;0;<24, 48;927.12;938.15;0;17/02/2014;15;12616.2;BT;1/01/2012;1;COEF
C02200;01/02/2014;<=10;0;0;>48;61.66;0;68.56;19/02/2014;9;8835.51;BT;1/01/2013;1;COEF
C02202;01/02/2014;<=10;0;0;>48;337.99;686.69;340.54;5/02/2014;9;7010.22;BT;1/01/2013;1;CNE
C02203;01/02/2014;<=10;>0;0;>48;436.14;884.63;452.66;12/02/2014;10;6455.4;BT;1/01/2012;0;CNE
C02204;01/02/2014;<=10;>0;0;<24, 48;1581.22;0;0;28/02/2014;17;9016.69;BT;1/01/2011;0;CNE
C02206;01/02/2014;>10;0;0;<24, 48;921.25;0;0;11/02/2014;7;1950.14;BT;1/01/2011;0;CNE
C02208;01/02/2014;<=10;0;0;>48;560;0;0;5/02/2014;9;12586.1;BT;1/01/2013;1;CNE
C02209;01/02/2014;>10;0;0;<24, 48;254.89;124.91;46.22;25/02/2014;18;2033.14;BT;1/01/2011;1;CNE
C02210;01/02/2014;<=10;0;0;<24, 48;304.96;0;919.11;26/02/2014;10;5509.39;BT;1/01/2013;1;CNE
C02212;01/02/2014;<=10;0;0;<24, 48;1128.65;0;1125.03;20/02/2014;7;18903.8;BT;1/01/2012;1;COEF
C02213;01/02/2014;<=10;0;0;<24, 48;281.98;365.54;0;12/02/2014;10;3003.95;BT;1/01/2011;1;CNE
C02214;01/02/2014;<=10;>0;0;<24, 48;174.37;641.37;63.21;17/02/2014;14;9482.97;BT;1/01/2012;1;CNE
C02217;01/02/2014;<=10;0;0;<24, 48;238.64;253.02;251.33;26/02/2014;10;4487.91;BT;1/01/2013;1;CNE
C02218;01/02/2014;>10;0;0;>48;231.06;0.83;230.93;5/02/2014;14;1124.19;BT;1/01/2011;0;CNE
C02219;01/02/2014;<=10;>0;0;<24, 48;1157.1;0;0;18/02/2014;18;3577.77;BT;1/01/2012;0;CNE
C02220;01/02/2014;<=10;0;0;>48;1153.98;1159.06;0;6/02/2014;10;32076.2;BT;1/01/2013;1;CNE
C02221;01/02/2014;<=10;0;0;<=24;316.73;4.07;0;11/02/2014;12;3816.3;BT;1/01/2013;1;CNE
C02222;01/02/2014;>10;>0;0;>48;1660.88;0;0;26/02/2014;9;12792.9;BT;1/01/2012;0;CNE
C02223;01/02/2014;<=10;0;0;<24, 48;239.91;482.71;727.31;25/02/2014;9;4844.32;BT;1/01/2013;1;CNE
C02225;01/02/2014;<=10;0;0;<=24;168.58;0.87;168.77;12/02/2014;12;635.31;BT;1/01/2013;1;CNE
C02226;01/02/2014;<=10;0;0;<24, 48;460.6;851.23;851.23;12/02/2014;10;15795.1;BT;1/01/2012;1;CNE
C02229;01/02/2014;<=10;0;0;<=24;269.37;546.49;825.88;25/02/2014;10;3775.02;BT;1/01/2013;1;CNE
C02230;01/02/2014;<=10;0;0;<24, 48;354.52;0;0;13/02/2014;14;7515.01;BT;1/01/2012;1;CNE
C02231;01/02/2014;<=10;>0;0;<24, 48;1153.1;0;394.38;5/02/2014;13;11739.1;BT;1/01/2012;0;CNE
C02232;01/02/2014;<=10;0;0;<24, 48;233.24;0;33.22;12/02/2014;11;3151.26;BT;1/01/2012;1;COEF
C02233;01/02/2014;<=10;0;0;<24, 48;276.67;0.76;0;10/02/2014;14;8179.08;BT;1/01/2013;1;CNE
C02235;01/02/2014;<=10;>0;0;<24, 48;1136.49;0;0;4/02/2014;16;9974.62;BT;1/01/2013;0;CNE
C02238;01/02/2014;<=10;0;0;<24, 48;508.92;849.98;1195.08;25/02/2014;14;6633.57;BT;1/01/2013;0;COEF
C02239;01/02/2014;<=10;0;0;<24, 48;93.28;143.65;0;21/02/2014;7;2667.78;BT;1/01/2012;1;COEF
C02240;01/02/2014;<=10;0;0;<=24;299.8;0;0;21/02/2014;15;1959.13;BT;1/01/2013;1;CNE
C02241;01/02/2014;<=10;0;0;<24, 48;434.08;431.9;431.9;27/02/2014;9;6788.77;BT;1/01/2011;1;COEF
C02243;01/02/2014;<=10;>0;1;<24, 48;1781.64;0;0;19/02/2014;10;17234.4;BT;1/01/2012;0;CNE
C02244;01/02/2014;>10;0;0;<24, 48;484.23;0;0;10/02/2014;11;21043.5;BT;1/01/2012;1;CNE
C02245;01/02/2014;>10;0;0;<24, 48;431.66;427.52;430.3;17/02/2014;16;7528.24;BT;1/01/2012;1;COEF
C02246;01/02/2014;<=10;0;0;<24, 48;293.19;277.75;298.98;3/02/2014;20;5045.74;BT;1/01/2013;1;CNE
C02247;01/02/2014;<=10;0;0;<24, 48;226.78;453.46;127.6;24/02/2014;10;5117.41;BT;1/01/2013;1;CNE
C02248;01/02/2014;<=10;>0;0;<=24;1152.11;153.95;1029.08;25/02/2014;15;20908.8;BT;1/01/2013;1;CNE
C02250;01/02/2014;<=10;0;0;>48;2110.75;0;0;20/02/2014;17;25496;BT;1/01/2013;0;CNE
C02251;01/02/2014;<=10;>0;0;>48;386.95;386.86;386.96;17/02/2014;16;9366.6;BT;1/01/2013;1;CNE
C02252;01/02/2014;<=10;0;0;<24, 48;40.55;0;0;13/02/2014;7;2911.5;BT;1/01/2011;1;COEF
C02253;01/02/2014;<=10;0;0;<=24;323.45;329.04;0;10/02/2014;18;4819.16;BT;1/01/2013;1;CNE
C02254;01/02/2014;<=10;0;0;>48;1419.84;0;0;11/02/2014;12;22491;BT;1/01/2013;0;CNE
C02255;01/02/2014;<=10;>0;0;<24, 48;303.13;302.9;301.49;7/02/2014;13;10598.2;BT;1/01/2013;1;CNE
C02256;01/02/2014;<=10;0;0;>48;335.27;597.85;199.28;14/02/2014;7;13789.6;BT;1/01/2012;1;CNE
C02257;01/02/2014;<=10;0;0;<24, 48;216.33;435.53;0;25/02/2014;17;3200.44;BT;1/01/2012;1;CNE
C02258;01/02/2014;>10;>0;0;<=24;294.67;498.14;0;28/02/2014;18;735.83;BT;1/01/2012;0;CNE
C02259;01/02/2014;<=10;0;0;>48;135.78;0;0;19/02/2014;11;14740.6;BT;1/01/2013;1;CNE
C02261;01/02/2014;<=10;0;0;<24, 48;251.91;254.53;255.13;10/02/2014;11;4220.36;BT;1/01/2012;1;CNE
C02262;01/02/2014;<=10;0;0;<24, 48;305.1;593.32;314.09;7/02/2014;7;7548.53;BT;1/01/2013;1;CNE
C02263;01/02/2014;<=10;>0;0;<=24;623.62;627.27;0;13/02/2014;17;622.96;BT;1/01/2013;0;CNE
C02264;01/02/2014;<=10;0;0;<24, 48;44.38;323.86;90.39;20/02/2014;9;6622.64;BT;1/01/2013;1;CNE
C02265;01/02/2014;<=10;0;0;<24, 48;457.1;0;0;17/02/2014;9;11320.4;BT;1/01/2013;1;CNE
C02266;01/02/2014;<=10;0;0;<=24;1169.12;0;0;7/02/2014;8;6637.15;BT;1/01/2013;0;CNE
C02267;01/02/2014;>10;0;0;<24, 48;482;0;482.56;6/02/2014;9;9774.2;BT;1/01/2012;1;CNE
C02268;01/02/2014;<=10;0;0;<24, 48;778.61;0;0;18/02/2014;9;15526.9;BT;1/01/2013;1;CNE
C02269;01/02/2014;<=10;0;0;>48;962.25;692.48;0;3/02/2014;10;26855.7;BT;1/01/2013;1;COEF
C02271;01/02/2014;<=10;0;0;<24, 48;405.28;0;0;17/02/2014;12;3317.9;BT;1/01/2013;0;CNE
C02272;01/02/2014;<=10;>0;0;>48;293.72;266.16;16.16;7/02/2014;8;4034.15;BT;1/01/2012;0;CNE
C02273;01/02/2014;<=10;0;0;<24, 48;111.13;111.07;111.35;24/02/2014;10;1930.3;BT;1/01/2013;1;CNE
C02274;01/02/2014;>10;0;0;<24, 48;180.99;181.16;181.13;4/02/2014;12;1371.47;BT;1/01/2011;1;CNE
C02276;01/02/2014;<=10;>0;1;<=24;309.23;0;311.3;13/02/2014;18;2580.83;BT;1/01/2013;1;COEF
C02278;01/02/2014;<=10;0;0;<24, 48;150.31;0.04;150.61;24/02/2014;16;2718.45;BT;1/01/2013;1;CNE
C02279;01/02/2014;<=10;0;0;<24, 48;82.66;0;0;3/02/2014;11;4792.9;BT;1/01/2013;1;CNE
C02280;01/02/2014;<=10;>0;0;<24, 48;387.5;383.59;0;20/02/2014;7;3136.07;BT;1/01/2013;0;CNE
